Topic,Count,Name,Representation,Representative_Docs
-1,174,-1_app_time_need_account,"['app', 'time', 'need', 'account', 'like', 'better', 'application', 'update', 'good', 'new']","['update longer accessible report problem try login asks confirmation code soon enter app crash solution offered delete app reinstall new update obviously serf greater purpose hide fact concrete solution resolve issue deleted customer service number sheer number call received', 'slow balance update transaction take long time appears app need lot improvement', 'app']"
0,413,0_app_good_update_work,"['app', 'good', 'update', 'work', 'bad', 'application', 'slow', 'great', 'service', 'easy']","['good app', 'good app', 'good app']"
1,67,1_app_add_login_time,"['app', 'add', 'login', 'time', 'account', 'payment', 'transaction', 'card', 'money', 'error']","['add user tutorial use app ability login fingerprint pattern add security question add mismatch time ask question alert', 'good app better add profile edit phone number email add second phone add fingerprint login able follow creditproject financial paperwork', 'hello support team begging app worked fine month later started blocking bug reinstalled app time issue persisting access account user password correct login process rejected thanks advance time considiration']"
2,11,2_crash_log__,"['crash', 'log', '', '', '', '', '', '', '', '']","['', 'crash log', '']"
3,10,3_number_country_feature_account,"['number', 'country', 'feature', 'account', 'login', 'phone', 'like', 'dad', 'essancial', 'offer']","['app real disaster worth monthly fee paying able perform remote transaction account giving chance save credential giving opportunity use finger print login come weight country dare offer service client disoppointed expect service attijari consideration shame', 'missing number essancial feature like nice feature integrating phone security app needed input login time finger print login', 'sure classed best bank country way change phone number system contact customer service managed dad phone number authentication bother dad time need code living abroad country need app connect phone number canada second list country indicatif bunch list ordrerd ascending descending']"
4,8,4_phone_app_internet_thing,"['phone', 'app', 'internet', 'thing', 'problem', 'star', 'come', 'suck', 'check', 'receipt']","['asking update continue installing app launch infinite loop asking ipdate check asap thing logout app shpuld unloaded phone use clear apps button able free phone resource oveall cam rate shoule enhanced tested deployment thanks', 'app stable android samsung notification received everytime load fund card crash today payed steg bill refused download receipt chance receipt crash problem app permission blocked searched solution lead app problem called customer service told phone problem', 'updated outdated standard app lot bug frustrating use slow barely check app need entirely scratch hire developer team useful struggle remember bloody way consider changing user usernameemail phone number similar thing work internet thanks']"
5,8,5_feel_cause_called_like,"['feel', 'cause', 'called', 'like', 'app', 'thing', 'star', 'mixture', 'mind', 'mentally']","['feel like wierd log apps smooth feel security step thing clear odd', 'worst application horrible ergonomie litterally feel unsafe like shady hacker application unability find useful service', 'sorry star cause deserves sure hope sit work app era cause called app viable stone age']"
